epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,12951.9,1.2727,2.49391,1.00663,1.24339,0.82664,0.7579,0.83735,0.54066,0.82719,0.7638,0.83467,0.49097,1.07524,2.00229,0.99133,1.21058,0.0014588,0.0014588,0.0014588
84,13055.6,1.25036,2.47004,1.03081,1.26902,0.79965,0.75938,0.8278,0.54734,0.80735,0.75497,0.80813,0.49246,1.00116,2.09589,0.98893,1.20133,0.0014522,0.0014522,0.0014522
85,13160.1,1.26468,2.45159,1.04381,1.27961,0.80933,0.74393,0.83141,0.53889,0.8221,0.75497,0.82629,0.51662,1.08087,2.04676,1.00685,1.21667,0.0014456,0.0014456,0.0014456
86,13269.2,1.31897,2.52379,1.00533,1.26636,0.82882,0.7482,0.82881,0.54256,0.79102,0.75497,0.81233,0.51021,1.066,2.1075,0.94926,1.20373,0.001439,0.001439,0.001439
87,13373.5,1.31411,2.50497,1.06333,1.28705,0.78393,0.75055,0.80471,0.53084,0.80616,0.74364,0.8037,0.48505,0.98769,2.01236,0.9336,1.1713,0.0014324,0.0014324,0.0014324
88,13480.7,1.26875,2.52414,1.02803,1.26267,0.80549,0.73289,0.80916,0.5319,0.79788,0.73068,0.79613,0.4658,1.01613,2.30094,1.02935,1.2158,0.0014258,0.0014258,0.0014258
89,13584.1,1.2664,2.47362,1.02019,1.2469,0.78567,0.72185,0.79554,0.52401,0.76355,0.70199,0.76477,0.45383,1.06991,2.07041,1.00384,1.20306,0.0014192,0.0014192,0.0014192
90,13689.5,1.26459,2.53534,1.01792,1.25304,0.80656,0.76398,0.82614,0.55807,0.80927,0.77483,0.82619,0.50025,0.95744,2.10062,0.94563,1.14977,0.0014126,0.0014126,0.0014126
91,13796.4,1.25331,2.45515,0.98558,1.23895,0.78598,0.74393,0.83074,0.55927,0.7891,0.74834,0.8258,0.51833,0.98199,2.18358,0.9882,1.17791,0.001406,0.001406,0.001406
92,13903.5,1.19103,2.35708,0.94227,1.22759,0.82247,0.73633,0.83587,0.56281,0.82651,0.74172,0.82099,0.50092,0.97297,2.07626,0.97921,1.21378,0.0013994,0.0013994,0.0013994
93,14008.6,1.25451,2.44646,0.98342,1.24874,0.75552,0.73951,0.80366,0.54256,0.80393,0.72411,0.80275,0.49537,0.98108,2.04454,0.94519,1.20834,0.0013928,0.0013928,0.0013928
94,14114.7,1.24021,2.44647,1.00465,1.24785,0.79362,0.77248,0.82912,0.54627,0.80052,0.75276,0.81556,0.49034,1.01238,2.09618,0.95209,1.22508,0.0013862,0.0013862,0.0013862
95,14221.8,1.16145,2.3341,0.94286,1.19819,0.77459,0.74339,0.80504,0.53864,0.76661,0.7396,0.79156,0.47681,0.97808,2.02874,0.9334,1.17842,0.0013796,0.0013796,0.0013796
96,14327.6,1.26385,2.45834,1.00562,1.24815,0.79452,0.77674,0.83802,0.54985,0.81003,0.766,0.82006,0.49431,0.97082,1.94299,0.90539,1.13473,0.001373,0.001373,0.001373
97,14433,1.23249,2.41265,0.98083,1.2363,0.84373,0.75089,0.83816,0.55158,0.83905,0.748,0.8346,0.50048,0.939,1.88517,0.95131,1.12358,0.0013664,0.0013664,0.0013664
98,14538.3,1.25813,2.55216,1.00308,1.25108,0.75809,0.78808,0.84047,0.57285,0.78552,0.76159,0.8338,0.52994,0.94077,1.97276,0.94912,1.14175,0.0013598,0.0013598,0.0013598
99,14645.1,1.23879,2.46104,0.96393,1.232,0.77635,0.71082,0.79154,0.55302,0.77081,0.72848,0.79374,0.49631,0.93681,2.06411,0.96659,1.16486,0.0013532,0.0013532,0.0013532
100,14749.9,1.28634,2.48792,1.03327,1.26961,0.82924,0.70419,0.80533,0.55709,0.81884,0.69536,0.79582,0.48625,0.95184,2.09542,0.93675,1.17541,0.0013466,0.0013466,0.0013466
101,14857.4,1.25945,2.4049,0.95942,1.23739,0.7854,0.72713,0.81875,0.55741,0.79358,0.73068,0.81771,0.51786,0.92042,1.97138,0.91134,1.14443,0.00134,0.00134,0.00134
102,14963.4,1.22195,2.41612,0.97185,1.22836,0.81154,0.72627,0.81349,0.54846,0.81154,0.72627,0.80105,0.49669,0.94923,2.17434,0.95217,1.16547,0.0013334,0.0013334,0.0013334
