epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
86,434.029,0.30499,0.4024,0.12709,0.8425,0.77934,0.83551,0.63397,0.29607,0.41004,0.23536,0.0016634,0.0016634,0.0016634
87,439.298,0.30488,0.3991,0.12837,0.82234,0.76636,0.81706,0.60096,0.31934,0.48035,0.25302,0.00165944,0.00165944,0.00165944
88,444.075,0.28838,0.39173,0.11952,0.76441,0.77263,0.81808,0.602,0.29618,0.44682,0.19342,0.00165548,0.00165548,0.00165548
89,448.836,0.31768,0.40004,0.11477,0.75149,0.82561,0.84243,0.62226,0.3103,0.42368,0.20892,0.00165152,0.00165152,0.00165152
90,453.81,0.27354,0.38125,0.1076,0.84195,0.74086,0.84339,0.62276,0.27755,0.44222,0.19284,0.00164756,0.00164756,0.00164756
91,458.67,0.31924,0.42091,0.13676,0.80963,0.76046,0.83678,0.6229,0.28439,0.44022,0.20149,0.0016436,0.0016436,0.0016436
92,463.469,0.27528,0.38959,0.11733,0.82491,0.68874,0.81081,0.59954,0.30216,0.479,0.21697,0.00163964,0.00163964,0.00163964
93,468.196,0.27867,0.39595,0.10417,0.81905,0.77263,0.8371,0.6192,0.3114,0.46952,0.22474,0.00163568,0.00163568,0.00163568
94,473.147,0.30653,0.40587,0.12807,0.7868,0.81236,0.84916,0.63365,0.28384,0.42538,0.22232,0.00163172,0.00163172,0.00163172
95,477.918,0.31858,0.40885,0.12485,0.80872,0.79029,0.84277,0.61033,0.28035,0.45595,0.20304,0.00162776,0.00162776,0.00162776
96,482.664,0.30649,0.4353,0.13354,0.77067,0.72698,0.78426,0.57996,0.2808,0.52875,0.19308,0.0016238,0.0016238,0.0016238
97,487.402,0.30306,0.40369,0.10904,0.79117,0.74834,0.82921,0.59655,0.34922,0.47862,0.27159,0.00161984,0.00161984,0.00161984
98,492.36,0.31261,0.40847,0.12133,0.83121,0.70861,0.83276,0.58812,0.31986,0.48161,0.20906,0.00161588,0.00161588,0.00161588
99,497.163,0.31925,0.44716,0.13413,0.83692,0.72848,0.83501,0.59725,0.31111,0.49254,0.23988,0.00161192,0.00161192,0.00161192
100,501.992,0.29607,0.4254,0.12551,0.83056,0.75055,0.84614,0.60743,0.31644,0.46684,0.23334,0.00160796,0.00160796,0.00160796
101,506.801,0.29628,0.41719,0.12823,0.78551,0.81236,0.84733,0.61439,0.28201,0.42789,0.1986,0.001604,0.001604,0.001604
102,512.094,0.27857,0.44572,0.10949,0.78512,0.79851,0.83397,0.59275,0.3072,0.45167,0.2234,0.00160004,0.00160004,0.00160004
103,516.892,0.30562,0.4207,0.12702,0.78743,0.76159,0.81723,0.58251,0.29313,0.48115,0.19096,0.00159608,0.00159608,0.00159608
104,521.694,0.26619,0.41187,0.11058,0.79695,0.75378,0.80677,0.57189,0.31147,0.47948,0.21397,0.00159212,0.00159212,0.00159212
105,526.412,0.33837,0.40927,0.13118,0.75625,0.766,0.79842,0.58301,0.29476,0.47647,0.19642,0.00158816,0.00158816,0.00158816
106,531.351,0.29807,0.38937,0.1108,0.78662,0.74867,0.81598,0.5916,0.29458,0.47573,0.20737,0.0015842,0.0015842,0.0015842
107,536.109,0.29468,0.43728,0.13688,0.84518,0.74393,0.83416,0.61991,0.30102,0.42977,0.21633,0.00158024,0.00158024,0.00158024
108,540.897,0.28804,0.40964,0.10479,0.80512,0.79346,0.83347,0.60658,0.29682,0.4248,0.20736,0.00157628,0.00157628,0.00157628
109,545.861,0.31568,0.39463,0.12719,0.79783,0.79274,0.82855,0.60582,0.30184,0.41526,0.20717,0.00157232,0.00157232,0.00157232
110,550.649,0.27276,0.39722,0.10895,0.80413,0.71302,0.8033,0.59655,0.31683,0.43258,0.24435,0.00156836,0.00156836,0.00156836
111,555.446,0.28402,0.38765,0.11147,0.78336,0.76629,0.82437,0.60076,0.29462,0.4438,0.21009,0.0015644,0.0015644,0.0015644
112,560.209,0.29264,0.39101,0.11755,0.80591,0.79029,0.83678,0.61242,0.30346,0.42796,0.24123,0.00156044,0.00156044,0.00156044
113,565.122,0.28606,0.41679,0.11712,0.79375,0.62019,0.64679,0.47005,nan,nan,nan,0.00155648,0.00155648,0.00155648
114,569.868,0.26458,0.37647,0.10038,0.70806,0.3532,0.34222,0.253,nan,nan,nan,0.00155252,0.00155252,0.00155252
115,574.7,0.27863,0.3935,0.11871,0.76459,0.68653,0.72779,0.52955,nan,nan,nan,0.00154856,0.00154856,0.00154856
116,579.487,0.28412,0.39576,0.11008,0.78993,0.79029,0.83653,0.61341,0.27569,0.42456,0.18828,0.0015446,0.0015446,0.0015446
117,584.371,0.27131,0.3855,0.10039,0.77724,0.78808,0.83659,0.61877,0.26987,0.44586,0.18499,0.00154064,0.00154064,0.00154064
118,589.13,0.29832,0.39533,0.11042,0.77885,0.78587,0.83354,0.6152,0.276,0.43631,0.18786,0.00153668,0.00153668,0.00153668
119,593.904,0.29223,0.37713,0.11086,0.83279,0.77483,0.85042,0.63205,0.27708,0.43405,0.18561,0.00153272,0.00153272,0.00153272
120,598.9,0.29193,0.39478,0.11658,0.81285,0.7947,0.84136,0.6368,0.25989,0.42812,0.1768,0.00152876,0.00152876,0.00152876
121,604.154,0.25076,0.365,0.10296,0.85521,0.75717,0.84983,0.64065,0.28317,0.38185,0.19727,0.0015248,0.0015248,0.0015248
122,609.742,0.26859,0.36643,0.09749,0.82978,0.77478,0.8423,0.63532,0.28806,0.39684,0.20611,0.00152084,0.00152084,0.00152084
123,614.525,0.24325,0.3467,0.09494,0.81041,0.79912,0.85517,0.63578,0.28852,0.41186,0.23389,0.00151688,0.00151688,0.00151688
