epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,554.163,0.36448,0.42032,0.10257,0.76913,0.80162,0.84419,0.63444,0.29076,0.41168,0.22273,0.00165152,0.00165152,0.00165152
90,560.167,0.34857,0.39277,0.11931,0.81286,0.71744,0.81692,0.593,0.33915,0.5165,0.29326,0.00164756,0.00164756,0.00164756
91,566.156,0.3233,0.39098,0.0991,0.80538,0.75717,0.83559,0.61675,0.30425,0.45492,0.22736,0.0016436,0.0016436,0.0016436
92,572.382,0.33421,0.39685,0.10864,0.83332,0.75938,0.84469,0.63103,0.283,0.453,0.20325,0.00163964,0.00163964,0.00163964
93,578.368,0.32823,0.38544,0.09724,0.80731,0.78612,0.84183,0.60859,0.29417,0.43437,0.20347,0.00163568,0.00163568,0.00163568
94,584.361,0.32339,0.38262,0.11502,0.82747,0.74112,0.83912,0.61361,0.29919,0.44067,0.18588,0.00163172,0.00163172,0.00163172
95,590.532,0.34147,0.41359,0.11993,0.77211,0.79912,0.83984,0.59082,0.31887,0.44032,0.24888,0.00162776,0.00162776,0.00162776
96,596.548,0.36388,0.41019,0.11146,0.78128,0.78146,0.82839,0.61586,0.31108,0.43784,0.21452,0.0016238,0.0016238,0.0016238
97,602.494,0.34876,0.39386,0.10743,0.81978,0.77317,0.83071,0.62398,0.29161,0.48176,0.18902,0.00161984,0.00161984,0.00161984
98,608.483,0.34238,0.39688,0.10611,0.80325,0.80208,0.84591,0.59444,0.33182,0.51438,0.22997,0.00161588,0.00161588,0.00161588
99,614.799,0.34467,0.41802,0.11554,0.84788,0.766,0.86474,0.62907,0.29366,0.46486,0.20581,0.00161192,0.00161192,0.00161192
100,620.834,0.33336,0.44449,0.11104,0.83141,0.81457,0.86242,0.63286,0.29698,0.43572,0.22298,0.00160796,0.00160796,0.00160796
101,626.802,0.35817,0.45197,0.1222,0.82518,0.76066,0.83211,0.59701,0.32286,0.4367,0.23532,0.001604,0.001604,0.001604
102,633.317,0.38692,0.44003,0.12647,0.77903,0.77704,0.82074,0.58188,0.29862,0.4465,0.20907,0.00160004,0.00160004,0.00160004
103,639.336,0.37443,0.42875,0.11917,0.77576,0.76159,0.79381,0.5793,0.2891,0.48766,0.19144,0.00159608,0.00159608,0.00159608
104,645.354,0.35415,0.42433,0.10462,0.81145,0.74614,0.81797,0.58781,0.33274,0.45009,0.2361,0.00159212,0.00159212,0.00159212
105,651.337,0.33942,0.4081,0.11361,0.80273,0.76356,0.83744,0.59797,0.32147,0.45344,0.23586,0.00158816,0.00158816,0.00158816
106,657.537,0.35669,0.40429,0.10711,0.83101,0.71523,0.82161,0.58176,0.33904,0.47359,0.25557,0.0015842,0.0015842,0.0015842
107,663.541,0.33746,0.403,0.11283,0.77568,0.69464,0.7876,0.575,0.32741,0.47996,0.25961,0.00158024,0.00158024,0.00158024
108,669.56,0.34057,0.3941,0.11293,0.81101,0.77704,0.82711,0.58385,0.31137,0.41625,0.22225,0.00157628,0.00157628,0.00157628
109,675.53,0.34391,0.40876,0.11134,0.8312,0.77263,0.8408,0.60713,0.29561,0.42327,0.21175,0.00157232,0.00157232,0.00157232
110,681.746,0.343,0.41269,0.10003,0.8424,0.77704,0.85257,0.62939,0.2937,0.43608,0.20649,0.00156836,0.00156836,0.00156836
111,687.75,0.35458,0.39433,0.10792,0.83256,0.77263,0.85086,0.63098,0.26234,0.42808,0.1677,0.0015644,0.0015644,0.0015644
112,693.747,0.34291,0.40955,0.12119,0.79567,0.79912,0.85446,0.64619,0.26369,0.42991,0.17155,0.00156044,0.00156044,0.00156044
113,700.231,0.3216,0.383,0.09779,0.81141,0.80734,0.87068,0.63492,0.285,0.43092,0.20703,0.00155648,0.00155648,0.00155648
114,706.444,0.31904,0.3842,0.09881,0.75911,0.82119,0.84531,0.62214,0.32226,0.41168,0.23825,0.00155252,0.00155252,0.00155252
115,712.471,0.34398,0.39264,0.10432,0.86571,0.75055,0.8448,0.60718,0.30554,0.42404,0.23064,0.00154856,0.00154856,0.00154856
