epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7766.9,1.18064,2.09781,0.9619,1.19194,0.79831,0.73731,0.81579,0.53839,0.80338,0.71965,0.80441,0.48345,1.02304,2.04918,0.9373,1.22212,0.0015248,0.0015248,0.0015248
74,7873.13,1.22798,2.22381,0.97656,1.22488,0.76839,0.76821,0.82403,0.52935,0.78481,0.77704,0.8252,0.50641,1.06476,2.20662,0.90446,1.20811,0.0015182,0.0015182,0.0015182
75,7978.26,1.22799,2.28169,0.98275,1.2296,0.72035,0.72215,0.77182,0.50546,0.77135,0.67023,0.76798,0.45789,1.05611,2.08726,0.98541,1.20113,0.0015116,0.0015116,0.0015116
76,8084.18,1.21558,2.33245,0.98197,1.22624,0.80163,0.72257,0.80561,0.54302,0.80713,0.71082,0.79711,0.47426,0.9817,2.48643,0.96196,1.17991,0.001505,0.001505,0.001505
77,8187.57,1.20848,2.2506,0.98825,1.22404,0.7854,0.73289,0.80951,0.53588,0.81872,0.69095,0.79441,0.4648,1.00435,2.46608,0.99082,1.16776,0.0014984,0.0014984,0.0014984
78,8293.66,1.19655,2.22269,0.98792,1.21828,0.75835,0.70199,0.78023,0.53242,0.79632,0.67108,0.77402,0.45165,0.97103,2.15825,0.95043,1.18191,0.0014918,0.0014918,0.0014918
79,8398.54,1.22754,2.29653,1.03761,1.25266,0.81927,0.74614,0.83228,0.55327,0.82613,0.7351,0.82747,0.49423,0.99493,2.13504,0.96344,1.17559,0.0014852,0.0014852,0.0014852
80,8501.45,1.23397,2.24773,1.05983,1.24464,0.75767,0.78682,0.8355,0.55349,0.74686,0.75549,0.81215,0.49734,1.01661,2.13736,0.94661,1.17762,0.0014786,0.0014786,0.0014786
81,8608.23,1.27055,2.26203,1.00732,1.24486,0.76536,0.72627,0.80871,0.53081,0.77032,0.72185,0.7911,0.4873,1.03653,2.07083,0.95338,1.18009,0.001472,0.001472,0.001472
82,8711.98,1.22075,2.31318,1.00826,1.24975,0.76362,0.75593,0.79401,0.53419,0.71979,0.75276,0.76542,0.47454,1.01563,2.16822,0.95319,1.19265,0.0014654,0.0014654,0.0014654
83,8817.76,1.23803,2.22711,0.98971,1.22232,0.76981,0.766,0.82681,0.53379,0.77359,0.76821,0.82849,0.49225,1.08315,2.27151,1.04488,1.21964,0.0014588,0.0014588,0.0014588
84,8921.16,1.21437,2.23537,0.98224,1.23559,0.82519,0.7351,0.81772,0.53906,0.82296,0.72185,0.8092,0.48261,0.97012,2.23811,0.93739,1.17053,0.0014522,0.0014522,0.0014522
