epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
135,907.162,0.40576,0.51355,0.19526,0,0,0,0,nan,nan,nan,0.00146936,0.00146936,0.00146936
136,912.572,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0014654,0.0014654,0.0014654
137,917.945,0.39703,0.48044,0.15147,0,0,0,0,nan,nan,nan,0.00146144,0.00146144,0.00146144
138,923.337,0.40391,0.47024,0.17487,0,0,0,0,nan,nan,nan,0.00145748,0.00145748,0.00145748
139,928.698,0.41265,0.4814,0.18707,0,0,0,0,nan,nan,nan,0.00145352,0.00145352,0.00145352
140,934.16,0.37282,0.50621,0.17216,0,0,0,0,nan,nan,nan,0.00144956,0.00144956,0.00144956
141,939.687,0.38053,0.47673,0.17133,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
142,945.072,0.38672,0.4976,0.16342,0,0,0,0,nan,nan,nan,0.00144164,0.00144164,0.00144164
143,950.434,0.39304,0.47817,0.1784,0,0,0,0,nan,nan,nan,0.00143768,0.00143768,0.00143768
144,955.862,0.40615,0.48731,0.19094,0,0,0,0,nan,nan,nan,0.00143372,0.00143372,0.00143372
145,961.242,0.3665,0.4429,0.16908,0,0,0,0,nan,nan,nan,0.00142976,0.00142976,0.00142976
146,966.638,0.3893,0.46724,0.17106,0,0,0,0,nan,nan,nan,0.0014258,0.0014258,0.0014258
147,972.006,0.36172,0.45046,0.18993,0,0,0,0,nan,nan,nan,0.00142184,0.00142184,0.00142184
148,977.424,0.35895,0.46126,0.1566,0,0,0,0,nan,nan,nan,0.00141788,0.00141788,0.00141788
149,983.013,0.35377,0.45111,0.15389,0,0,0,0,nan,nan,nan,0.00141392,0.00141392,0.00141392
150,988.407,0.352,0.43897,0.16504,0,0,0,0,nan,nan,nan,0.00140996,0.00140996,0.00140996
151,993.802,0.35136,0.44433,0.15394,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
152,999.224,0.37104,0.44939,0.16184,0,0,0,0,nan,nan,nan,0.00140204,0.00140204,0.00140204
153,1004.6,0.34261,0.44015,0.13748,0,0,0,0,nan,nan,nan,0.00139808,0.00139808,0.00139808
154,1009.91,0.293,0.45776,0.13119,0,0,0,0,nan,nan,nan,0.00139412,0.00139412,0.00139412
155,1015.27,0.35509,0.48166,0.16796,0,0,0,0,nan,nan,nan,0.00139016,0.00139016,0.00139016
156,1020.89,0.39665,0.51268,0.1806,0,0,0,0,nan,nan,nan,0.0013862,0.0013862,0.0013862
157,1026.25,0.35913,0.48036,0.16376,0,0,0,0,nan,nan,nan,0.00138224,0.00138224,0.00138224
158,1031.62,0.37155,0.46766,0.19977,0,0,0,0,nan,nan,nan,0.00137828,0.00137828,0.00137828
159,1037.05,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00137432,0.00137432,0.00137432
160,1042.5,0.35502,0.46203,0.16572,0,0,0,0,nan,nan,nan,0.00137036,0.00137036,0.00137036
161,1047.87,0.38849,0.50074,0.18559,0,0,0,0,nan,nan,nan,0.0013664,0.0013664,0.0013664
162,1053.24,0.37039,0.50082,0.16064,0,0,0,0,nan,nan,nan,0.00136244,0.00136244,0.00136244
163,1058.63,0.36402,0.47421,0.15935,0,0,0,0,nan,nan,nan,0.00135848,0.00135848,0.00135848
164,1064.25,0.35771,0.47044,0.1571,0,0,0,0,nan,nan,nan,0.00135452,0.00135452,0.00135452
165,1069.65,0.35146,0.49309,0.14495,0,0,0,0,nan,nan,nan,0.00135056,0.00135056,0.00135056
166,1075.04,0.36605,0.45216,0.15129,0,0,0,0,nan,nan,nan,0.0013466,0.0013466,0.0013466
167,1080.39,0.36546,0.43935,0.17307,0,0,0,0,nan,nan,nan,0.00134264,0.00134264,0.00134264
168,1085.78,0.35656,0.49667,0.17212,0,0,0,0,nan,nan,nan,0.00133868,0.00133868,0.00133868
169,1091.19,0.3788,0.46783,0.19274,0,0,0,0,nan,nan,nan,0.00133472,0.00133472,0.00133472
170,1096.6,0.38729,0.48335,0.19717,0,0,0,0,nan,nan,nan,0.00133076,0.00133076,0.00133076
171,1101.95,0.32773,0.47905,0.15355,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
172,1107.58,0.33916,0.43058,0.15789,0,0,0,0,nan,nan,nan,0.00132284,0.00132284,0.00132284
173,1112.94,0.36224,0.46912,0.162,0,0,0,0,nan,nan,nan,0.00131888,0.00131888,0.00131888
174,1118.31,0.33316,0.42914,0.13933,0,0,0,0,nan,nan,nan,0.00131492,0.00131492,0.00131492
175,1123.68,0.3527,0.43911,0.16434,0,0,0,0,nan,nan,nan,0.00131096,0.00131096,0.00131096
176,1129.08,0.39084,0.46153,0.14945,0,0,0,0,nan,nan,nan,0.001307,0.001307,0.001307
177,1134.46,0.37888,0.46162,0.15149,0,0,0,0,nan,nan,nan,0.00130304,0.00130304,0.00130304
178,1139.84,0.35652,0.44506,0.164,0,0,0,0,nan,nan,nan,0.00129908,0.00129908,0.00129908
179,1145.41,0.33316,0.48885,0.13723,0,0,0,0,nan,nan,nan,0.00129512,0.00129512,0.00129512
180,1150.83,0.36531,0.51216,0.16554,0,0,0,0,nan,nan,nan,0.00129116,0.00129116,0.00129116
181,1156.19,0.37821,0.4621,0.15357,0,0,0,0,nan,nan,nan,0.0012872,0.0012872,0.0012872
182,1161.51,0.37669,0.46487,0.16907,0,0,0,0,nan,nan,nan,0.00128324,0.00128324,0.00128324
